tag,occurence,novelty,popularity,user_reaction
Blondes,38773,2024,761188613984,111517292962
Matures,48096,18276,227987359281,171769169993
Ladyboys,7231,889,340863379892,142904162633
Threesomes,17663,895,769835371115,103123478458
MILFs,36359,4176,124834290134,131587227371
Gaping,2959,15,696889675566,145876985468
Public Nudity,16568,3586,122422116248,134869628199
Amateur,223139,223139,75899445041,111397873075
French,9071,165,144968606769,107705875868
Foot Fetish,8733,1299,36683399061,864674224207
Black Gays,4834,293,44702656806,118529168391
Handjobs,13662,795,100945367003,140461865027
Gangbang,7353,157,112268522916,162143342853
Thai,1192,32,138357319631,116124161074
Italian,3696,122,198778810335,104318181818
Midgets,397,29,205745410579,206649874055
Facials,23114,412,808120692221,133003374578
Redheads,7760,99,852953646907,141680412371
Czech,1538,8,118390360858,105123537061
Hidden Cams,16270,1052,112823562508,104579594345
Fingering,12266,199,728828740421,121919126039
Femdom,9941,3688,781183868826,140624685645
Sex Toys,25276,837,572789228517,117862003482
Swedish,683,18,103734961933,893265007321
Nipples,3771,75,121311629011,149878016441
Face Sitting,2331,58,797640965251,126048906049
Vintage,20647,7040,139725878287,110565215286
Bisexuals,3928,1140,955720707739,184126782077
Flashing,9406,465,8257783872,122127365511
Danish,699,12,110808051502,993419170243
Blowjobs,65050,23968,662696060876,110605380477
Pornstars,37837,12727,744742601422,106589845918
Men,137197,137197,114645493487,595617979985
Hardcore,75250,58342,992412540066,120822059801
Voyeur,21780,7969,672921018825,896363636364
Lingerie,6034,125,58339638051,907838912827
Cartoons,1542,504,111986512322,841504539559
Massage,3073,105,20266822356,142434103482
Webcams,39116,5378,413508091829,786642294713
Chinese,892,8,109769190583,883968609865
Celebrities,8858,3325,101317596862,671043124859
Babysitters,672,9,176137985119,145729166667
Gothic,661,22,518427760968,118638426626
Hentai,1031,95,900707264791,531910766246
Big Boobs,53226,33080,946255190884,133691241123
Lesbians,35150,22388,95759539431,121176102418
Turkish,2281,176,179369688733,150162209557
Stockings,15326,2247,104456012919,12908325721
Indian,4257,593,172355579986,873807845901
Tits,21167,651,967612231776,125699437804
Brazilian,3813,142,727772806189,737136113297
Bukkake,2980,98,797931302013,156466442953
Korean,947,11,229476746568,772650475185
Close-ups,13611,264,59608406289,113830725149
Grannies,7157,242,264877150063,187293558754
Russian,6798,144,150480893939,111165048544
Emo,1046,13,610222600382,120382409178
Group Sex,21229,2881,144351452259,145225399218
Interracial,31676,5556,76177663878,143815191312
Latin,16116,537,511710243237,873095060809
BBW,33421,6861,80180009126,155797253224
Strapon,4431,153,890813511623,1775671406
Masturbation,51976,20154,621949783362,115596429121
Squirting,7218,316,920043826545,162285951787
German,13000,359,178079180462,164163076923
Shemales,21688,21608,564811282276,176638694209
Spanking,3511,174,821868199943,125431500997
Showers,3520,96,723189741477,109232954545
Cream Pie,10370,480,127392501446,177255544841
Funny,4876,385,139412082855,144942575882
Babes,44389,9948,692128078127,986393025299
Teens,76688,34917,100238320832,120877060296
Upskirts,11629,2948,509522196234,81200447158
Beach,3534,235,157846273911,131010186757
Swingers,3086,60,200919482826,152342838626
Hairy,13836,1168,145840199552,143141081237
POV,10654,182,586110621363,106415430824
Arab,4421,766,208122523411,823501470256
Latex,2756,85,532062623367,100783744557
Softcore,7330,308,590852867667,703383356071
British,7383,112,851480537722,139440606799
Gays,41613,15371,343901282772,906077427727
Anal,63762,41527,981719977573,133487343559
Old+Young,12534,741,241031496569,167149353758
Cumshots,46734,8206,857600864467,135925878375
Double Penetration,8972,252,665850572893,125722246991
Brunettes,30405,1709,726696055912,109766485775
Cuckold,6402,208,143881002812,209706341768
Japanese,18341,1544,179247343547,898287988659
Asian,34402,15553,126936758822,957758269868
BDSM,15214,6349,905714365716,13706783226
Black and Ebony,32716,2543,733612397604,128207604842
